Grundbuchamt/ Ort ;Anlage;Kaufpreis;Seite;Verkäufer:;Grundbuchblatt;Bezirk ;Eigentümer ;Rechtsnachfolger ;Ifd. Nummer ;Gemarkung;Flur ;Flurstück;Katastergröße (m^2);ca. Verkaufsgröße (m^2);WE - Nr.;SU - Nr.;falls zutreffend: Anteil;Bodenrichtwert 2024 (€/m^2);unknown_value;Bodenrichtwert 2016 ;Amnmerkungen Bodenrichtwert 2016 ;Grundstückspreise auf basis Bodenrichtwerte 2016;Adressen;comment;Nutzung laut Thelen ;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;60;ThyssenKrupp AG;8925;Altenessen;ThyssenKrupp AG;ThyssenKrupp AG;178;Altenessen;22;211;1;nicht genannt;93617;699;nicht zutreffend ;270;270,00;;Kein Ergebnis gefunden;0,00;F2V7+WM7 Essen;Grünstreifen vor dem Haus ;;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;60;ThyssenKrupp AG;8925;Altenessen;ThyssenKrupp AG;ThyssenKrupp AG;180;Altenessen;22;213;39;nicht genannt;93617;699;nicht zutreffend ;270;10.530,00;;Kein Ergebnis gefunden;0,00;F2V7+VG2 Essen;Grünstreifen vor dem Haus ;;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;60;ThyssenKrupp AG;8925;Altenessen;ThyssenKrupp AG;ThyssenKrupp AG;244;Altenessen;22;307;23;nicht genannt;93617;699;nicht zutreffend ;270;6.210,00;;Für diese Fläche konnte kein BRW ermittel werden;0,00;F2V7+P5X Essen;;;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;61;ThyssenKrupp AG;1331;Bredeney;Fried. Krupp AG Hoesch-Krupp;ThyssenKrupp AG;nicht erkennbar;Bredeney;42;200;1.001;nicht genannt;93919;967;nicht zutreffend ;630;630.630,00;450;;450.450,00;Redtenbacherstraße 10, 45133 Essen;;;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;61;ThyssenKrupp AG;1606;Bredeney;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Bredeney;2;21;1.414;nicht genannt;93919;2, 1364, 13;nicht zutreffend ;690;975.660,00;500;;707.000,00;Beckmannsbusch 53, 45133 Essen;;Land- und forstwirtschaftliche Flächen, Grün- und Freiflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;61;ThyssenKrupp AG;1606;Bredeney;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Bredeney;8;200;723;nicht genannt;93616;695;nicht zutreffend ;700;506.100,00;;Für diese Fläche konnte kein BRW ermittelt werden;0,00;CX9P+CQH Essen;;Land- und forstwirtschaftliche Flächen, Grün- und Freiflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;61;ThyssenKrupp AG;1606;Bredeney;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Bredeney;8;201;1.134;nicht genannt;93616;695;nicht zutreffend ;700;793.800,00;;Für diese Fläche konnte kein BRW ermittelt werden;0,00;CX9P+9PP Essen;;Land- und forstwirtschaftliche Flächen, Grün- und Freiflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;61;ThyssenKrupp AG;1606;Bredeney;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Bredeney;8;202;1.436;nicht genannt;93616;695;nicht zutreffend ;700;1.005.200,00;;Für diese Fläche konnte kein BRW ermittelt werden;0,00;CX9P+8JH Essen;;Land- und forstwirtschaftliche Flächen, Grün- und Freiflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;61;ThyssenKrupp AG;1606;Bredeney;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Bredeney;8;203;1.024;nicht genannt;93616;695;nicht zutreffend ;700;716.800,00;;Für diese Fläche konnte kein BRW ermittelt werden;0,00;CX9P+6HV Essen;;Land- und forstwirtschaftliche Flächen, Grün- und Freiflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;61;ThyssenKrupp AG;1606;Bredeney;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Bredeney;8;204;1.060;nicht genannt;93616;695;nicht zutreffend ;700;742.000,00;;Für diese Fläche konnte kein BRW ermittelt werden;0,00;CX9P+5GJ Essen;;Land- und forstwirtschaftliche Flächen, Grün- und Freiflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;61;ThyssenKrupp AG;1606;Bredeney;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Bredeney;8;205;853;nicht genannt;93616;695;nicht zutreffend ;700;597.100,00;;Für diese Fläche konnte kein BRW ermittelt werden;0,00;CX9P+4FM Essen;;Land- und forstwirtschaftliche Flächen, Grün- und Freiflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;61;ThyssenKrupp AG;1606;Bredeney;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Bredeney;8;206;796;nicht genannt;93616;695;nicht zutreffend ;700;557.200,00;;Für diese Fläche konnte kein BRW ermittelt werden;0,00;CX9P+3CC Essen;;Land- und forstwirtschaftliche Flächen, Grün- und Freiflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;nicht lesbar;ThyssenKrupp AG;6013;Essen;ThyssenKrupp AG;ThyssenKrupp AG;5;Essen;5;809;9.792;nicht genannt;93927;979;nicht zutreffend ;165;1.615.680,00;150;;1.468.800,00;Haedenkampstraße 75 - 79, 45143 Essen;;Erbbaurecht Wohnen und Gewerbe;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;nicht lesbar;ThyssenKrupp AG;6304;Essen;ThyssenKrupp AG;ThyssenKrupp AG;4;Essen;3;89;12;nicht genannt;93521;1012;nicht zutreffend ;350;4.200,00;100;;1.200,00;FX9Q+HHR Essen;;Entwicklungsflächen Gewerbe;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;nicht lesbar;ThyssenKrupp AG;6304;Essen;ThyssenKrupp AG;ThyssenKrupp AG;9;Essen;3;94;0;nicht genannt;93521;1012;nicht zutreffend ;320;0,00;100;;0,00;FXCP+PHX Essen;;Entwicklungsflächen Gewerbe;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;nicht lesbar;ThyssenKrupp AG;6304;Essen;ThyssenKrupp AG;ThyssenKrupp AG;17;Essen;3;249;14.403;nicht genannt;93522;1011;nicht zutreffend ;320;4.608.960,00;100;;1.440.300,00;FXCP+FC9 Essen;;Entwicklungsflächen Gewerbe;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;nicht lesbar;ThyssenKrupp AG;6304;Essen;ThyssenKrupp AG;ThyssenKrupp AG;19;Essen;3;250;727;nicht genannt;9352;1011;nicht zutreffend ;320;232.640,00;100;;72.700,00;FXCP+H7V Essen;;Entwicklungsflächen Gewerbe;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;nicht lesbar;ThyssenKrupp AG;6304;Essen;ThyssenKrupp AG;ThyssenKrupp AG;24;Essen;3;260;85.656;nicht genannt;93521;1012;nicht zutreffend ;350;29.979.600,00;100;;8.565.600,00;FXCR+8FG Essen;;Entwicklungsflächen Gewerbe;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;nicht lesbar;ThyssenKrupp AG;6304;Essen;ThyssenKrupp AG;ThyssenKrupp AG;28;Essen;3;293;539;468;93521;1019;nicht zutreffend ;;0,00;;;0,00;;;;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;nicht lesbar;ThyssenKrupp AG;6304;Essen;ThyssenKrupp AG;ThyssenKrupp AG;28;Essen;3;293;539;71;93522;1044;nicht zutreffend ;;0,00;;;0,00;;;;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;65;ThyssenKrupp AG;9214;Essen;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Essen;5;1012;527;nicht genannt;93532;646;nicht zutreffend ;;0,00;;;0,00;;;;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;65;ThyssenKrupp AG;9214;Essen;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Essen;5;1063;2.230;nicht genannt;93530;1184;nicht zutreffend ;165;367.950,00;150;;334.500,00;FX3P+QQW Essen;;Entwicklungsflächen Gewerbe;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;65;ThyssenKrupp AG;9214;Essen;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Essen;5;1065;2.099;nicht genannt;93532;646;nicht zutreffend ;120;251.880,00;105;;220.395,00;FX3Q+5X8 Essen;;Entwicklungsflächen Gewerbe;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;65;ThyssenKrupp AG;9214;Essen;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Essen;5;1066;1.075;nicht genannt;93532;646;nicht zutreffend ;120;129.000,00;105;;112.875,00;FX3Q+8VH Essen;;Entwicklungsflächen Gewerbe;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;65;ThyssenKrupp AG;9214;Essen;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Essen;5;1067;57.024;40.090;93532;646;nicht zutreffend ;;0,00;;;0,00;;;;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;65;ThyssenKrupp AG;9214;Essen;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Essen;1;480;34.587;nicht genannt;93526;1323;nicht zutreffend ;;0,00;;;0,00;;;;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;65;ThyssenKrupp AG;9214;Essen;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Essen;1;481;13.401;nicht genannt;93526;1323;nicht zutreffend ;;0,00;;;0,00;;;;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;65;ThyssenKrupp AG;9215;Essen;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Essen;3;162;136;nicht genannt;93521;1018;nicht zutreffend ;115;15.640,00;100;;13.600,00;FX8R+FPR Essen;;Entwicklungsflächen Gewerbe;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;65;ThyssenKrupp AG;9215;Essen;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Essen;3;168;33.772;9.363;93522;1011;nicht erkennbar;320;10.807.040,00;100;;3.377.200,00;FX9P+XPM Essen;;Entwicklungsflächen Gewerbe;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;66;ThyssenKrupp AG;9215;Essen;ThyssenKrupp AG;ThyssenKrupp AG;58;Essen;3;248;24.225;nicht genannt;93522;1011;nicht erkennbar;320;7.752.000,00;100;;2.422.500,00;FXCP+H8G Essen;;Entwicklungsflächen Gewerbe;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;66;ThyssenKrupp AG;9215;Essen;ThyssenKrupp AG;ThyssenKrupp AG;60;Essen;3;244;1.091;nicht genannt;93522;1020;nicht erkennbar;115;125.465,00;100;;109.100,00;FX8Q+9GC Essen;;Büro- und Verwaltungsflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;66;ThyssenKrupp AG;9215;Essen;ThyssenKrupp AG;ThyssenKrupp AG;70;Essen;3;270;12.954;2.246;93521;1012;nicht erkennbar;;0,00;;;0,00;;;;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;66;ThyssenKrupp AG;9215;Essen;ThyssenKrupp AG;ThyssenKrupp AG;74;Essen;3;266;59.299;nicht genannt;93522;1011;nicht erkennbar;320;18.975.680,00;100;;5.929.900,00;FX8P+M32 Essen;;Büro- und Verwaltungsfläche ;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;66;ThyssenKrupp AG;9215;Essen;ThyssenKrupp AG;ThyssenKrupp AG;77;Essen;3;267;19.773;nicht genannt;93522;1011;nicht erkennbar;320;6.327.360,00;100;;1.977.300,00;FX9P+3P5 Essen;;Büro- und Verwaltungsfläche ;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;66;ThyssenKrupp AG;9215;Essen;ThyssenKrupp AG;ThyssenKrupp AG;80;Essen;3;268;9.809;nicht genannt;93522;1011;nicht erkennbar;320;3.138.880,00;100;;980.900,00;FX9Q+983 Essen;;Büro- und Verwaltungsfläche ;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;66;ThyssenKrupp AG;9215;Essen;ThyssenKrupp AG;ThyssenKrupp AG;81;Essen;3;295;6.152;5.540;93522;1020;nicht erkennbar;;0,00;;;0,00;;;;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;66;ThyssenKrupp AG;9215;Essen;ThyssenKrupp AG;ThyssenKrupp AG;81;Essen;3;295;6.152;612;93522;1044;nicht erkennbar;;0,00;;;0,00;;;;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;66;ThyssenKrupp AG;9215;Essen;ThyssenKrupp AG;ThyssenKrupp AG;83;Essen;3;294;1.111;nicht genannt;93522;1044;nicht erkennbar;;0,00;;;0,00;;;;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;66;ThyssenKrupp AG;9215;Essen;ThyssenKrupp AG;ThyssenKrupp AG;84;Essen;3;296;703;nicht genannt;93522;1020;nicht erkennbar;115;80.845,00;100;;70.300,00;FX8Q+JFR Essen;;Entwicklungsflächen Gewerbe;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;66;ThyssenKrupp AG;9215;Essen;ThyssenKrupp AG;ThyssenKrupp AG;89;Essen;3;303;2.604;nicht genannt;93521;1018;nicht erkennbar;115;299.460,00;100;;260.400,00;FX8R+P8V Essen;;Entwicklungsflächen Gewerbe;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;67;ThyssenKrupp AG;870;Fischlaken;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Fischlaken;11;47;4.730;nicht genannt;93653;1138;nicht zutreffend ;0,7;3.311,00;;Kein Ergebnis gefunden;0,00;92X6+QXR Essen;;Land- und forstwirtschaftliche Flächen, Grün- und Freiflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;67;ThyssenKrupp AG;870;Fischlaken;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Fischlaken;11;48;58.530;nicht genannt;93653;1137;nicht zutreffend ;0,7;40.971,00;1,8;;105.354,00;92W7+GP7 Essen;;Land- und forstwirtschaftliche Flächen, Grün- und Freiflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;67;ThyssenKrupp AG;870;Fischlaken;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Fischlaken;11;49;178;nicht genannt;93653;1138;nicht zutreffend ;0,7;124,60;;Kein Ergebnis gefunden;0,00;92W7+Q7X Essen;;Land- und forstwirtschaftliche Flächen, Grün- und Freiflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;67;ThyssenKrupp AG;870;Fischlaken;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Fischlaken;12;19;3.174;nicht genannt;93653;1136;nicht zutreffend ;0,7;2.221,80;1,8;;5.713,20;92XG+P7X Essen;;Land- und forstwirtschaftliche Flächen, Grün- und Freiflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;67;ThyssenKrupp AG;870;Fischlaken;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Fischlaken;12;20;2.476;nicht genannt;93653;1136;nicht zutreffend ;0,7;1.733,20;1,8;;4.456,80;92XG+R3W Essen;;Land- und forstwirtschaftliche Flächen, Grün- und Freiflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;67;ThyssenKrupp AG;870;Fischlaken;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Fischlaken;11;84;52.724;nicht genannt;93653;1136;nicht zutreffend ;0,7;36.906,80;1,8;;94.903,20;92W8+FHX Essen;;Land- und forstwirtschaftliche Flächen, Grün- und Freiflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;67;ThyssenKrupp AG;870;Fischlaken;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Fischlaken;11;91;3.706;nicht genannt;93653;1136;nicht zutreffend ;0,7;2.594,20;1,8;;6.670,80;92WF+XMF Essen;;Land- und forstwirtschaftliche Flächen, Grün- und Freiflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;67;ThyssenKrupp AG;870;Fischlaken;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Fischlaken;11;103;1.364;nicht genannt;93919;959;nicht zutreffend ;0,7;954,80;1,8;;2.455,20;Zimmermannstraße 59, 45239 Essen;;Erbbaurecht Wohnen und Gewerbe;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;67;ThyssenKrupp AG;870;Fischlaken;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Fischlaken;11;111;1.318;nicht genannt;93919;958;nicht zutreffend ;0,7;922,60;1,8;;2.372,40;Dodelle 20, 45239 Essen;;Erbbaurecht Wohnen und Gewerbe;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;67;ThyssenKrupp AG;870;Fischlaken;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Fischlaken;11;152;2.322;nicht genannt;93653;1029;nicht zutreffend ;0,7;1.625,40;1,8;;4.179,60;92WC+5QR Essen;;Land- und forstwirtschaftliche Flächen, Grün- und Freiflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;67;ThyssenKrupp AG;870;Fischlaken;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Fischlaken;11;154;3.255;nicht genannt;93653;1136;nicht zutreffend ;0,7;2.278,50;18;;58.590,00;92X8+3XX Essen;;Land- und forstwirtschaftliche Flächen, Grün- und Freiflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;67;ThyssenKrupp AG;870;Fischlaken;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Fischlaken;11;155;16.685;nicht genannt;93653;1136;nicht zutreffend ;0,7;11.679,50;1,8;;30.033,00;92W9+CWX Essen;;Land- und forstwirtschaftliche Flächen, Grün- und Freiflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;68;ThyssenKrupp AG;993;Fischlaken;Fried. Krupp AG Hoesch-Krupp;ThyssenKrupp AG;1;Fischlaken;11;56;10.223;nicht genannt;93653;1136;nicht erkennbar;0,7;7.156,10;;Für diese Fläche konnte kein BRW ermittelt werden;0,00;92X6+GWG Essen;;Land- und forstwirtschaftliche Flächen, Grün- und Freiflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;68;ThyssenKrupp AG;993;Fischlaken;Fried. Krupp AG Hoesch-Krupp;ThyssenKrupp AG;18;Fischlaken;11;55;520;nicht genannt;93653;1138;nicht erkennbar;0,7;364,00;;Für diese Fläche konnte kein BRW ermittelt werden;0,00;92X6+XQ5 Essen;;Land- und forstwirtschaftliche Flächen, Grün- und Freiflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;68;ThyssenKrupp AG;993;Fischlaken;Fried. Krupp AG Hoesch-Krupp;ThyssenKrupp AG;19;Fischlaken;11;79;878;nicht genannt;93653;1136;nicht erkennbar;0,7;614,60;;Für diese Fläche konnte kein BRW ermittelt werden;0,00;92X6+WP5 Essen;;Land- und forstwirtschaftliche Flächen, Grün- und Freiflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;68;ThyssenKrupp AG;993;Fischlaken;Fried. Krupp AG Hoesch-Krupp;ThyssenKrupp AG;26;Fischlaken;11;157;1.528;995;93653;1137;nicht erkennbar;0,7;1.069,60;1,8;;2.750,40;92X9+587 Essen;;Land- und forstwirtschaftliche Flächen, Grün- und Freiflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;68;ThyssenKrupp AG;993;Fischlaken;Fried. Krupp AG Hoesch-Krupp;ThyssenKrupp AG;26;Fischlaken;11;157;1.528;533;93653;1138;nicht erkennbar;0,7;1.069,60;1,8;;2.750,40;92X9+587 Essen;;Land- und forstwirtschaftliche Flächen, Grün- und Freiflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;68;ThyssenKrupp AG;993;Fischlaken;Fried. Krupp AG Hoesch-Krupp;ThyssenKrupp AG;29;Fischlaken;11;160;7.096;2.332;93653;1137;nicht erkennbar;0,7;4.967,20;1,8;;12.772,80;92WC+X34 Essen;;Land- und forstwirtschaftliche Flächen, Grün- und Freiflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;68;ThyssenKrupp AG;993;Fischlaken;Fried. Krupp AG Hoesch-Krupp;ThyssenKrupp AG;29;Fischlaken;11;160;7.096;382;93653;1138;nicht erkennbar;0,7;4.967,20;1,8;;12.772,80;92WC+X34 Essen;;Land- und forstwirtschaftliche Flächen, Grün- und Freiflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;68;ThyssenKrupp AG;993;Fischlaken;Fried. Krupp AG Hoesch-Krupp;ThyssenKrupp AG;29;Fischlaken;11;160;7.069;nicht genannt;93653;1136;nicht erkennbar;0,7;4.948,30;1,8;;12.724,20;92WC+X34 Essen;;Land- und forstwirtschaftliche Flächen, Grün- und Freiflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;68;ThyssenKrupp AG;993;Fischlaken;Fried. Krupp AG Hoesch-Krupp;ThyssenKrupp AG;30;Fischlaken;11;162;5.735;nicht genannt;93653;1137;nicht erkennbar;0,7;4.014,50;1,8;;10.323,00;92WF+C4C Essen;;Land- und forstwirtschaftliche Flächen, Grün- und Freiflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;68;ThyssenKrupp AG;993;Fischlaken;Fried. Krupp AG Hoesch-Krupp;ThyssenKrupp AG;32;Fischlaken;11;164;5.735;nicht genannt;93653;1137;nicht erkennbar;0,7;4.014,50;1,8;;10.323,00;92WF+FH2 Essen;;Land- und forstwirtschaftliche Flächen, Grün- und Freiflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;69;ThyssenKrupp AG;64;Fulerum;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Fulerum;5;21;517;nicht genannt;93602;1026;nicht zutreffend ;7;3.619,00;;360 (ein-/ zweigeschossig);0,00;CXG5+MWR Essen;;Land- und forstwirtschaftliche Flächen, Grün- und Freiflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;69;ThyssenKrupp AG;64;Fulerum;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Fulerum;5;22;516;nicht genannt;93602;1026;nicht zutreffend ;7;3.612,00;;360 (ein-/ zweigeschossig);0,00;CXG5+PX7 Essen;;Land- und forstwirtschaftliche Flächen, Grün- und Freiflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;69;ThyssenKrupp AG;64;Fulerum;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Fulerum;5;20;1.011;nicht genannt;93602;1026;nicht zutreffend ;7;7.077,00;;360 (ein-/ zweigeschossig);0,00;CXG5+MPG Essen;;Land- und forstwirtschaftliche Flächen, Grün- und Freiflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;69;ThyssenKrupp AG;64;Fulerum;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Fulerum;5;44;7.408;nicht genannt;93602;1026;nicht zutreffend ;7;51.856,00;3,5;;25.928,00;CXH5+Q3G Essen;;Land- und forstwirtschaftliche Flächen, Grün- und Freiflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;69;ThyssenKrupp AG;64;Fulerum;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Fulerum;5;46;1.789;nicht genannt;93602;1026;nicht zutreffend ;7;12.523,00;3,5;;6.261,50;CXH4+RM5 Essen;;Land- und forstwirtschaftliche Flächen, Grün- und Freiflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;69;ThyssenKrupp AG;64;Fulerum;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Fulerum;5;194;46.802;nicht genannt;93602;1026;nicht zutreffend ;7;327.614,00;3,5;;163.807,00;CXH5+5RW Essen;;Land- und forstwirtschaftliche Flächen, Grün- und Freiflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;69;ThyssenKrupp AG;64;Fulerum;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Fulerum;4;70;52.701;nicht genannt;93602;1025;nicht zutreffend ;7;368.907,00;3,5;;184.453,50;CXJ6+F69 Essen;;Land- und forstwirtschaftliche Flächen, Grün- und Freiflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;69;ThyssenKrupp AG;64;Fulerum;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Fulerum;1;285;17.531;nicht genannt;93602;1025;nicht zutreffend ;7;122.717,00;3,5;;61.358,50;CXJ5+WV6 Essen;;Entwicklungsflächen Wohnen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;69;ThyssenKrupp AG;64;Fulerum;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Fulerum;5;222;67.573;nicht genannt;93602;1026;nicht zutreffend ;7;473.011,00;3,5;;236.505,50;CXG4+WRQ Essen;;Land- und forstwirtschaftliche Flächen, Grün- und Freiflächen;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;70;ThyssenKrupp AG;1250;Haarzopf;ThyssenKrupp AG;ThyssenKrupp AG;1;Haarzopf;5;423;489;nicht genannt;93904;903;nicht erkennbar;500;244.500,00;380;;185.820,00;Berghausweg 16, 45149 Essen;;Erbbaurecht Wohnen und Gewerbe ;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;70;ThyssenKrupp AG;1564;Haarzopf;Fried. Krupp AG Hoesch-Krupp;ThyssenKrupp AG;1;Haarzopf;3;388;286;nicht genannt;93904;1302;nicht erkennbar;460;131.560,00;340;;97.240,00;Auf'm Gartenstück 26, 45149 Essen;;;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;70;ThyssenKrupp AG;1565;Haarzopf;ThyssenKrupp AG;ThyssenKrupp AG;1;Haarzopf;3;389;297;nicht genannt;93904;1288;nicht erkennbar;460;136.620,00;340;;100.980,00;Auf'm Gartenstück 28, 45149 Essen;;Erbbaurecht Wohnen und Gewerbe;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;71;ThyssenKrupp AG;1566;Haarzopf;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Haarzopf;3;390;301;nicht genannt;93904;1295;nicht zutreffend ;460;138.460,00;340;;102.340,00;Auf'm Gartenstück 30, 45149 Essen;;;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;71;ThyssenKrupp AG;1567;Haarzopf;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Haarzopf;3;391;458;nicht genannt;93904;1303;nicht zutreffend ;460;210.680,00;340;;155.720,00;Auf'm Gartenstück 32, 45149 Essen;;Erbbaurecht Wohnen und Gewerbe;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;71;ThyssenKrupp AG;1569;Haarzopf;ThyssenKrupp AG;ThyssenKrupp AG;nicht erkennbar;Haarzopf;3;393;326;nicht genannt;93904;1289;nicht zutreffend ;460;149.960,00;340;;110.840,00;Auf'm Gartenstück 36, 45149 Essen;;Erbbaurecht Wohnen und Gewerbe;;;
Essen ;Anlage 1.1.1(a)(i);500.000,00;72;ThyssenKrupp AG;1571;Haarzopf;Fried. Krupp AG Hoesch-Krupp;ThyssenKrupp AG;1;Haarzopf;3;395;511;nicht genannt;93904;1290;nicht erkennbar;460;235.060,00;340;;173.740,00;Auf'm Gartenstück 56, 45149 Essen;;Erbbaurecht Wohnen und Gewerbe;;;
