Grundbuchamt/ Ort ;Anlage;Kaufpreis;Seite;Verkäufer:;Grundbuchblatt;Bezirk ;Eigentümer ;Rechtsnachfolger ;Ifd. Nummer ;Gemarkung;Flur ;Flurstück;Katastergröße (m^2);ca. Verkaufsgröße (m^2);WE - Nr.;SU - Nr.;falls zutreffend: Anteil;Bodenrichtwert 2024 (€/m^2);unknown_value;Bodenrichtwert 2016 ;Amnmerkungen Bodenrichtwert 2016 ;Grundstückspreise auf basis Bodenrichtwerte 2016;Adressen;comment;Nutzung laut Thelen ;;;
Dillenburg;Anlage 1.1.1(a)(i);500.000,00;5;ThyssenKrupp AG;1490;Langenaubach;Hoesch AG;ThyssenKrupp AG;nicht erkannt;Langenaubach;11;164;1.106;nicht genannt;93774;801;nicht zutreffend ;0,75;829,50;;;0,00;P55V+Q6F Haiger;;Land- und forstwirstschaftliche Flächen, Grün- und Freiflächen ;;;
Dillenburg;Anlage 1.1.1(a)(i);500.000,00;5;ThyssenKrupp AG;1490;Langenaubach;Hoesch AG;ThyssenKrupp AG;nicht erkannt;Langenaubach;11;172;1.271;nicht genannt;93774;801;nicht zutreffend ;0,75;953,25;;;0,00;P55R+XXR Haiger;;Land- und forstwirstschaftliche Flächen, Grün- und Freiflächen ;;;
Dillenburg;Anlage 1.1.1(a)(i);500.000,00;5;ThyssenKrupp AG;1490;Langenaubach;Hoesch AG;ThyssenKrupp AG;nicht erkannt;Langenaubach;11;170;1.260;nicht genannt;93774;801;nicht zutreffend ;0,75;945,00;;;0,00;P55V+X88 Haiger;;Land- und forstwirstschaftliche Flächen, Grün- und Freiflächen ;;;
Dillenburg;Anlage 1.1.1(a)(i);500.000,00;5;ThyssenKrupp AG;1490;Langenaubach;Hoesch AG;ThyssenKrupp AG;nicht erkannt;Langenaubach;11;169;945;nicht genannt;93774;801;nicht zutreffend ;0,75;708,75;;;0,00;P56V+3FX Haiger;;Land- und forstwirstschaftliche Flächen, Grün- und Freiflächen ;;;
Dillenburg;Anlage 1.1.1(a)(i);500.000,00;5;ThyssenKrupp AG;1490;Langenaubach;Hoesch AG;ThyssenKrupp AG;nicht erkannt;Langenaubach;11;173/1;1.883;nicht genannt;93774;801;nicht zutreffend ;0,75;1.412,25;;;0,00;P56V+349 Haiger;;Land- und forstwirstschaftliche Flächen, Grün- und Freiflächen ;;;
Dillenburg;Anlage 1.1.1(a)(i);500.000,00;5;ThyssenKrupp AG;1490;Langenaubach;Hoesch AG;ThyssenKrupp AG;nicht erkannt;Langenaubach;11;174/1;615;nicht genannt;93774;801;nicht zutreffend ;0,75;461,25;;;0,00;P56V+335 Haiger;;Land- und forstwirstschaftliche Flächen, Grün- und Freiflächen ;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;6;ThyssenKrupp AG;11548;Dorsten;Hoesch AG;ThyssenKrupp AG;1;Dorsten;24;405;243;nicht genannt;64202;576;nicht erkennbar;245;59.535,00;165;;40.095,00;MX9F+598 Dorsten;;Wohnfläche ;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;6;ThyssenKrupp AG;17635;Dorsten;Hoesch AG;ThyssenKrupp AG;9;Dorsten;18;128;861;nicht genannt;93900;nicht erkennbar;nicht erkennbar;260;223.860,00;175;;150.675,00;Nelkenstraße 29, 46284 Dorsten;;Erbbaurecth Wohnen und Gewerbe;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;6;ThyssenKrupp AG;17635;Dorsten;Hoesch AG;ThyssenKrupp AG;11;Dorsten;18;126;812;nicht genannt;93900;nicht erkennbar;nicht erkennbar;260;211.120,00;175;;142.100,00;Nelkenstraße 27, 46284 Dorsten;;Erbbaurecht Wohnen und Gewerbe;;;
Dorsten ;Anlage 1.1.1(a)(i);500.000,00;6;ThyssenKrupp AG;17635;Dorsten;Hoesch AG;ThyssenKrupp AG;12;Dorsten;18;125;668;nicht genannt;93900;nicht erkennbar;nicht erkennbar;260;173.680,00;175;;116.900,00;Nelkenstraße 23, 46284 Dorsten;;Erbbaurecht Wohnen und Gewerbe;;;
